index,query_clean
1418,какой у меня процент по кредитке
1419,в каком году была оформлена карта альфа банк
1420,как вынести иконку банкана экран телефона
1421,как тро выдадут карту
1422,хотел пароль поменять
1423,добавьте этот комментарий
1424,не активна надпись заменить
1425,еще во время перевыпуска карты еще не будет карты на руках я смогу видеть в личном кабинете деньги и делать переводы с этого счета или не будет карты на руках я не смогу воспользоваться своими средствами
1426,какая у меня карта
1427,какая карта рабочая
1428,кредита без процентов у менч до <anon num> июля
1429,есть ли активные карты
1430,в графике платежей сумма <anon num> оплатить до <anon num> <anon num> <anon num> смс оповещения пишет другую сумму <anon num> это как понимать
1431,когда будет готова карта
1432,могу ли я пользоваться картой до получения
1433,уин
1434,не отображается детская карта
1435,что такое alfa id
1436,что будет если я пополню кредитную карту сверх лимита и оплачу ей
1437,сколько ждать именную карту
1438,это дебетовая карта там нет никаких просрочек
1439,есть ли у меня действующая кредитная карта в вашем банке
1440,как узнать какая у меня ипотека
1441,я заплатил около <anon num> за свой рекомендательный wi fi через альфа и каждый раз он показывает что осталась какая то сумма мне в чем проблема
1442,есть ли на мое имя кредитная карта в вашем банке
1443,я плачу альфа пэй но ничего не начисления
1444,оплатила большую часть кредита деньги списались а график не изменился
1445,а карта до сих пор у вас в отделении
1446,да где разрешить
1447,как начать пользоваться кредитеой картой
1448,мне кредитную карту уже не ращблркируют пользоваться ей не смогу
1449,как можно настроить авто перевод с счета на счёт на определенный процент после каждого получения зп
1450,платёж пропустила почему списали
1451,что значит только при покупке онлайн
1452,вы уверены что мне отдадут
1453,попробую по реквизитам сегодня не получится но если по реквизитам все пройдёт то на будущей неделе просрочку закрою скорее всего в четверг
1454,по кредитной карте какой процент в день
1455,большое дайте форму опроса обслуживания хочу сотруднику что помог это сделать без звонков поставить все <anon num>
1456,вчера при получении карты установили приложение но оно не открывается
1457,апел ьсиновую карту мне не надо
1458,виртуальный портфель выбирал это был со средним процентом доходности
1459,где можно забрать карту
1460,почему даты платежей в разные месяцы разные
1461,куда пропала моя новая карта
1462,я заказывал дебетовую карту вопрос а она закреплена будет к действующему счету возможно ли ее ограничивать балансом
1463,если будет основная карта
1464,если я рекомендовал карту дебетовую другу на какую сумму надо покупок совершить чтобы было принято участие в акции
1465,я хочу перевести деньги самому себе обратно но теперь поставлен лимит
1466,какой у меня процент по кредитке в месяц
1467,так где кэшбек за оплату моб связи
1468,в задании <anon num> кэшбэка за оплату коммунальных услуг он начисляется только за свет и воду или целиком за всю итоговую сумму в квитанции
1469,после оформления кредита на любые цели можно отказаться от услуги защита здоровья и как изменится кредит
1470,я заказывал крҽдитную карту
1471,я оформила карту и входила в личный кабинет по номеру телефона и номеру карты сейчас хочу завести пароль но на странице смены пароля просят ввести старый пароль а у меня нет старого пароля
1472,очень хорошо я читала в условиях что если я погашу свой долг в сбере в течении <anon num> месяцев то снизится процентная ставка по моему кредиту
1473,я уже получил пластмассу
1474,у меня не было раньше карты я ее оформляла пару лет назад но так и не забрала
1475,она приедет <anon num> июня
1476,еще хочу уточнить это обычная карта или кредитная
1477,заказывал новую карту хочу узнать она уже в отделении или еще ждать
1478,какой у меня код при снятии денег
1479,хочу получить карту
1480,когда придут деньги за то что через меня сделали карту
1481,где посмотреть когда она будет готова
1482,когда мне придет <anon num>
1483,когда блокируется карта при неверном вводе пинкода
1484,до какого времени можно положить деньги на счёт в день списания кредита чтобы не возникла просрочка
1485,обновите ставку на все продукты до <anon num> <anon num>
1486,почему у меня процент по кредитной карте <anon num> тыс
1487,как отключить платежи по коммунальным услугам
1488,как перевести деньги с счета на счет если требует данные нового паспорта а новый паспорт еще не готов
1489,как настроить альфа пэй оплату на телефоне
1490,да после введения кода высвечивается эта надпись
1491,сколько мне еще нужно внести по кредиту чтобы вернуться в график
1492,я заказала карту и мне должна прийти <anon num>
1493,почему банкомат говорит невозможно выполнить операцию когда прикладываю карту альфа банка из мир пэй ввожу пин код
1494,может ли родитель подтвердить инвест счет не будучи клиентом альфа банка
1495,что за подписка у меня подключена списали <anon num>
1496,номер счета
1497,да хочу подключить
1498,счета мои
1499,мне не доступны реквизиты карты
1500,мои все счета
1501,почему не могу перевести деньги себе в другой банк не приходит смс с одноразовым паролем
1502,как узнать лицевой счёт
1503,оформил
1504,и как вывезти свои деньги
1505,счёт кредитной карты
1506,где лицевой счёт в приложении
1507,смс с кодом подтверждения платежа за границей будет платной
1508,где отображается счет в мобильном приложении по кредитной карте
1509,дата договора кредитной карты
1510,деньги сразу
1511,если счёт оформлен на кредитную карту
1512,есть ли в мобильном приложении калькулятор для расчета кредита
1513,узнать по поводу автокредит под залог машины написано что одобрено его точно одобрили или это предодобрено
1514,последние уведомление объясните
1515,номер расчётного счета
1516,брал кредит наличными почему произошел сбой
1517,стерлись данные карты
1518,не даёт подтвердить свой номер телефона
1519,мой кэшбэк на июнь
1520,авиабилеты с кешбеком
1521,что такое прочие расходы <anon num> руб
1522,почему в приложении не отображается моя дебетовая карта
1523,а на этот номер не пришел до сих пор
1524,где они
1525,когда придут деньги по кредиту
1526,что подключено по кредитной карте
1527,почему не отображается перевод который пришел на счет на главном экране
1528,кэшбэк в июне
1529,я закрыла стикер почему минус на карте все еще
1530,как узнать в приложении бик банка
1531,доступные счета
1532,выплаты
1533,мне не показывает реквизиты
1534,как мы можем вывести средства с ее карты
1535,кредитную карту только сегодня выдали
1536,бик и лицевой счёт карты
1537,я переносила номер тинькофф на теле <anon num> можно надо подтвердить в эту банку
1538,заказали стикер карту хочу договорится о дате доставки карты
1539,удалить свой аккаунт
1540,почему на счете кридитной карты нет денег
1541,на детскую карту перепутала цифрыс номер телефона
1542,получатель vpn volt
1543,что значит собственные деньги на кредитке
1544,трудности пароль просрочен пишут
1545,почему не видно в истории перевод
1546,бик банка
1547,номер счëта для пополнения по альфа займу
1548,где найти дату и номер договора займа
1549,как найти лицевой счет
1550,произошла ошибка компенсации
1551,у меня на счету лежит сумма для ежемесячного взноса по кредиту я не могу ее перевести на счет кредита вы можете сделать это
1552,ближайший банк в городе саратов в заводском районе
1553,номер моего расчётного счета
1554,номер лицевого счета
1555,почему в приложение не показывает баланс и не проводится оплата стикером
1556,какое вознаграждение
1557,очень долго приходят оповещения и коды в смс
1558,полные реквизиты
1559,счёт этой карты
1560,я вам говорю про другой номер телефона
1561,уведомления которые приходят вконтакте платные
1562,узнать бик карты
1563,у ребёнка размагнитился стикер как его перевыпустить
1564,где могу увидеть кредитную карту в приложении
1565,отделения альфа банка
1566,хочу погосить долг по кредиту нужен счёт по кредитному договору
1567,кэшбек <anon num>
1568,нужен номер счета рассрочки
1569,заказать справку о реквизиты счета
1570,где мне посмотреть сколько будет начислено
1571,как получить реквизиты моего счета заверенные банком для того чтобы приложить к заявлению на расторжение договора страхования
1572,кешбек в строительных магазинах
1573,сегодня рабочий день
1574,мои счета
1575,как работает ваш фелиал в кандалакше
1576,ссудный и текущий счёт который указан в кредитном договоре это одно и тоже
1577,кэшбек продукты
1578,почему приходит оповещение
1579,как подтвердить операцию если я изменил свой номер но он будет доступен через <anon num> часа
1580,мой номер телефона подключен на другого пользователя что мне делать
1581,подробности кредитного лимита
1582,уведомление не пришло
1583,что с ответом на мою заявку
1584,расследование платежа
1585,сколько их у меня всего
1586,заказывал кредитную карту
1587,в приложении вашем где счёт
1588,как я могу вернуть деньги с кредитной карты которую закрыли
1589,не могу войти в личный кабинет
1590,за стикер тоже ежемесячно за смс уведомление платить
1591,что значит на скрине раздел общий долг
1592,оператор по кэшбэку
1593,кешбек за месяц
1594,кэшбэк в июле
1595,зайду в отделение
1596,он не отмечается даже в приложении
1597,я оформила кредит через приложение немного не поняла мне надо за ним обратиться в банк или будет отдельный счет с этой суммой в приложении
1598,почему на главной странице кэшбэк одна сумма а внутри когда заходишь уже другая
1599,перевод собственных средств с кредитной карты
1600,как посмотреть номинальный счёт
1601,какие действия можно сделать чтобы получить деньги
1602,отделение в энгельсе ул тельмана
1603,как получить лицевой счёт
1604,почему у меня не отображается кредитка
1605,посмотреть адрес
1606,как найти название отделение банка
1607,реквизится мне нада
1608,как через сбп где оно
1609,кэшбек на красоту в этом месяце <anon num>
1610,вопрос о начислении кэшбека
1611,мне нужен бик и реквизиты чтоб указать в мои налоги
1612,так и не отобразились недели по акции <anon num> недель до лета это ладно а денег то стоит ждать
1613,привязать карту альфа банка
1614,кэшбэк за все покупки
1615,какие у меня есть продукты в альфа банке
1616,как поменять пароль при возле в приложение
1617,можно и средства вернуть и карту закрыть
1618,как узнать номер карты если пластиковой карты еще нет при попытке узнать его мне пишет проверьте подключение к интернету хотя если я не был подключен к инету я даже в приложение не зашел
1619,так какие варианты я хочу замороженные деньги сразу на погашение задолженности использовать
1620,я забыл свой пароль могу ли я его поменять не зная старый
1621,где можно найти расчетный счет заявителя
1622,номер счета инн кпп банка
1623,выгода <anon num> коммунальные услуги
1624,ну я оформлял но нет в приложении
1625,почему у меня не приходит уведомления когда приходят деньги на карты
1626,что значит зависнуть в банке вы посмотрите на реквизиты счёт был в альфа банке
1627,кешбек можно перенести на моб номер
1628,да остались а куда пропала то карта
1629,кешбек не зависит для начисления от суммы трат
1630,можно узнать адреса альфа банка в уфе с кассой для снятия налички
1631,номер телефона ввожу а логина не помню
1632,почему мне не приходят уведомления о переводе денег на мою карту
1633,неверное отображается информация по кредиту в приложении
1634,я утерял кредитную карту и хочу восстановить ее в виде стикера
1635,счет кредитной карты
1636,поменять пароль от входа
1637,где посмотреть архив по кредиту наличными
1638,у меня заблокировали счёт если я на основной счёт положу сумму на которую заблокировали счёт кредитный откроется
1639,сбп по кредитной карте
1640,почему мне не приходят смс для перевода денег другому человеку
1641,у меня есть зарплатная карта я не могу понять какие последнииеё четыре цифры
1642,платеж не отражается в истории почему
1643,где можно посмотреть
1644,не работает пуш уведомление для подтверждения переводов
1645,я пишу <anon num> раз о том что не смогу вовремя внести и предупреждаю об этом
1646,куда приходит код смс
1647,а если я не помню свой пароль мне как его изменить
1648,где их смотреть
1649,опять проблема с отображением перевода в истории до каких пор это будет продолжаться
1650,узнать бик и расчетный счёт
1651,какой срок договора по кредитной карте
1652,номер лицевого счета
1653,где посмотреть бик
1654,поменять адрес доставки стикера
1655,а почему у меня нет денег на кредитной карте
1656,какой номер перевода
1657,пишу вам где на счету кридитку видно
1658,то есть если я подключу услугу я в следующем месяце должен буду заплатить <anon num> <anon num> плюс платеж за следующий месяц
1659,я открыла но не могу понять где отслеживать
1660,я закрыл досрочно потребительский кредит хочу вернуть проценты по страховке для этого мне нужен номер страхового полиса и номер договора
1661,этот номер отменить
1662,я заказывал кредитную карту на <anon num>
1663,информация о смене номера привязанного к карте
1664,отключить переводы мне по сбп
1665,напиши полностью номер карты
1666,мои счета
1667,как вернуть остаток собственных средств со счета кредитной карты
1668,когда мне привозили стикер мне не говорили что нужна будет оплата
1669,кэшбек в июне
1670,подключить номер телефона к карте
1671,где посмотреть все карты
1672,как скопировать номер карты
1673,почему из меню пропала моя карта
1674,как узнать свой расчетный счет
1675,у меня осталось <anon num> ₽ от старой карты куда они пойдут
1676,номер полиса страхования
1677,мне надо было реквизиты карты
1678,как убрать видимость карты при переводе средств к других людей
1679,не вижу карту в приложении
1680,уже <anon num> час прошло но номер не поменял
1681,через сколько поступают кредитные средства на счёт после проверки залоговой недвижимости росреестром
1682,почему у меня нет оповещений по детской карте
1683,смс на телефон не приходят
1684,кеш бек по операции
1685,вчера выясняла по поводу кашбэка
1686,необходимо получить выписку с реквизитами по имеющейся карте
1687,подключить кеш бек
1688,предварительна запись в отделении
1689,как из счета по кредиту вывести собственные средства
1690,обновите баланс
1691,я знаю про платеж по кредиту не надо мне названивать оплату произведу завтра
1692,когда баланс кредитной карту вернут
1693,в новом уренгое есть отделение с кассой
1694,кэшбэк последней покупки
1695,кешбэк в июне
1696,в прошлом месяце выбирал <anon num> дополнительных категории кеш бека одна из которой была одежда и обувь по этой категории пишет в приложении нет кеш бека
1697,как посмотреть какой счет у меня есть
1698,начисление кэшбэка
1699,какой кредитный счет
1700,за карту кэшбек
1701,хочу перевести карту на зарплатный проект как получить реквизиты для бухгалтерии
1702,да подключаем
1703,название банка
1704,кешбек на транспорт
1705,показать кредитную карту
1706,подключить кэшбэк
1707,почему мне пришли деньги и нет уведомления о списании
1708,какой расчетный счёт у моей банковской карты
1709,жду информацию по моему вопросу по кэшбэку
1710,запланировала в приложении визит пришла к назначенному времени просят подождать обслуживают других
1711,вопрос о магазине и кэшбэке
1712,список продуктов
1713,после перевода <anon num> рублей остальные переводы не отобразились в истории почемужду чтоб вернули отображение последних переводов
1714,помогите найти именно офис в петрозаводске
1715,скажи мой бик
1716,а как ей восстановить доступ
1717,где офис банка
1718,карту привезли а продукт в приложении у меня не появился
1719,почему пропали кредитные карты в онлайн банке
1720,мой расчетный счет карты
1721,как я могу узнать корреспондентский счет
1722,почему пишется что карта доставляется если я заказал альфа стикер
1723,о каком кэшбеке речь
1724,а можно сделать что ежемесячно списывалось
1725,какой номер сейчас привязан к карте
1726,супер кэш же как работает
1727,как сменить номер кредной карты
1728,у меня приходят смс хотя подключены только пуш
1729,зарплатный счет
1730,как разрешить переводы по сбп
1731,и где в приложении находится эта сумма
1732,можно ли получить бик банка и наименование
1733,у меня в кабинете высвечивается кредитная карта с лимитом на <anon num> я ее не заказывала и не одобряла убрать счёт с этой картой на <anon num>
1734,где офис
1735,кэшбэк июня
1736,почему не приходят уведомление об остатке о покупке
1737,что делать если я студент мне не чем платить кредитку
1738,ближайший офис
1739,оформляю заявление по страховому случаю где могу найти расчетный счёт
1740,случайно положил деньги на кредитную карту положил выше лимита я сейчас могу обратно их без процентов перевести на дебетовую карту
1741,меня интересует кэшбэк на <anon num> рублей
1742,кешбек за транспорт
1743,в каком отделении на пл ленина
1744,узнать номер расчётного счета
1745,реквизиты карты не открываются
1746,где они
1747,как узнать о предодобренных кредитах
1748,нету кэшбека
1749,где можно посмотреть действующие счета
1750,из личного кабинета исчезла карта
1751,поменяли номер мобильного банка пользоваться не получается
1752,я добавил резервный номер он уже есть в моем приложении
1753,куда в москве можно подать исполнительный лист в какое отделение
1754,справка о реквизитах
1755,есть ли у вас карта при помощи которой можно посещать бизнес залы по миру
1756,один из <anon num> банкоматов на <anon num> <anon num> города вновь не работал нужно установить еще хоть <anon num> работосаособный на говорова <anon num> в сибирском городке или лучше где то на рынке в черемушках
1757,на главной странице написано деньги почти ваши это что значит
1758,не показывает реквезиты
1759,в течении недели могу оплатить
1760,при попытке привязать банковскую карту к мострансавто код приодит на старый номер
1761,нет полных реквизитов карты
1762,за июнь
1763,плюсы и условия
1764,вознаграждение мне пришло у меня вопрос по кешбеку
1765,оформила кредитку можно ли ей воспользовать до прихожа пластика
1766,не критично но нельзя настроить информирование от банка в виде push уведомлений а не старинных смс
1767,я их положила чтобы оплатить долг
1768,как узнать свой счёт бик
1769,оператор человек по кешбэк
1770,офис на вокзальной
1771,хочу уточнить про кэшбэк на транспорт если я оплачу за карту алга то мне начислят кэшбэк поможете разобраться
1772,международные
1773,номер расчетного счета
1774,как на детскую карту привязать телефон внука чтоб по его телефону переводили ему деньги на карту
1775,лицевой счёт
1776,реквизиты счета
1777,мои счета
1778,найти рариспонденский счет бик
1779,не пришло уведомление о переводе
1780,я хочу выбрать другую карту для оплаты а старую удалить
1781,отключить входящие переводы
1782,какой у меня вид карты
1783,я обслуживаюсь в до молодежная
1784,где посмотреть самостоятельно
1785,можно записаться
1786,банк оповестил что я скоро перестану быть зарплатным клиентом но в бухгалтерии организации такой информации нет в связи с чем такое оповещение
1787,рассчетный счёт
1788,свой счет
1789,где смотреть
1790,кэшбек на продукты
1791,как мне сделать выписку реквизитов карты для суда
1792,срок действия карты
1793,поменять пароль для входа
1794,кешбек в июне
1795,просили позже написать по вопросу с кэшбэком
1796,почему не приходить смс о зачисление зарплаты
1797,все мои счета
1798,запрашивал документы по кредиту <anon num> июня на почту до сих пор ничего не пришло
1799,где посмотреть дату рождения
1800,интересует кеш бек за транспорт
1801,я спрашиваю получу за это кэшбек
1802,есть ли у меня продукты банка
1803,супер кэшбэк суммируется с кэшбеком за месяц
1804,не могу открыть в приложении реквизиты карты а именно номер
1805,посмотреть статус заявки
1806,сколько карт и счетов у меня сейчас в альфа банке
1807,можно записаться ко времени чтоб очереди не ждать
1808,одобрить перевод по сбп
1809,я делаю свое телефонное приложение трекер финансов могу ли я сделать так чтобы операции из банка выгружались автоматически в мое приложение что для этого надо
1810,как поменять пароль для входа
1811,мне написали что у меня есть заявка а как можно узнать мне ее одобрили
1812,хочу узнать по обоим счетам
1813,нужна официальная справка с реквизитами кредитной карты
1814,какие продукты банка у меня есть
1815,при попытке подтверждения добавочного телефона смс отправляется на неправильный номер
1816,что за сообщения поступают от вас
1817,и где найти счёт на который скидывать сумму ежемесячную
1818,ну по кешбеку да
1819,в какое время открывается биржа
1820,у меня уже есть деньги на счету погаси его
1821,можно ли оплачивать кредит любой суммой а не фиксированный платежом
1822,как закрыть счёт на котором <anon num> ₽
1823,оформил кредитную карту где могу увидеть ее в приложении
1824,хотя в настройках стоит только пуш
1825,поменял способ уведомлений поставил смс + пуш еще не было списаний сегодня попробую и сообщу
1826,можно ли платить альфа картой в онлайн приложении золотого яблока
1827,могу ли я оплатить кредитной картой туристическую путевку по реквизитам туроператора расчетный счет
1828,детская карта изменился номер телефона
1829,мне нужна информация о поступлении денег на мою карту от <anon num> <anon num> <anon num>
1830,как в приложении заказать справку с реквизитами счета
1831,хотел узнать на счет кешбека с авиабилетов
1832,я неправильно указала реквизиты
1833,как вернуть невостребованный остаток
1834,отключите мне смс оповещение мне нужны только пуш уведомления
1835,отключите номер телефона от карты
1836,можно позже отплатить
1837,почему смс код приходит на номер который у меня не привязан ни к чему
1838,а номер счёта к которому привязана карта
1839,подключить другой номер
1840,что за карта alfa only
1841,как узнать номер уин платежа
1842,заявление на кредитную карту была другая сумма а почему изменилась сумма
1843,про реквизиты подробнее объясните как это сделать
1844,мне не понятно почему по моей кредитной карте долг был <anon num> я внесла <anon num> <anon num> а еще осталось у меня <anon num> за карту <anon num> а остальной расход за что
1845,можно стикер привязать к основной карте
1846,как в приложении посмотреть баланс счетов
1847,получить выписку с реквизитами банковской карты для начисления зп
1848,кашбэк за проезд
1849,как поменять пароль входа
1850,только что оформила кредитную карту
1851,почему нет расхода последнего в истории
1852,есть ли у мен карты или счета
1853,раньше приходили пуш уведомления о пополнении карты хотел узнать почему перестали приходить
1854,кэшбэк за покупку
1855,где получить бик
1856,а какой банк
1857,не приходят сообщения от вас для подтверждения переводов
1858,смс от вас
1859,смс стали приходить
1860,как мне вывести средства
1861,михаил здесь про кэшбэк <anon num>
1862,а куда исчез счёт на котором было <anon num>
1863,где можно посмотреть мои счета
1864,где найти расчетный счет или узнать есть ли он у меня
1865,уведомления от банка
1866,где я могу посмотреть свой корр счет
1867,перевод <anon num> на погашение кредита
1868,узнать через сколько придет займ
1869,подключите вы мне
1870,не открываются реквизиты карты
1871,проблема с сообщениями на телефон в банке мучились час и дома не приходят сообщения номер указан верно
1872,уже при оформлении кредита наличными выскакивает окно что сервис временно не работает и не получается его оформить что можно с этим сделать или когда сервис заработает
1873,кредитный лимит
1874,вопрос по акции альфа карта с кэшбеком
1875,непонятно деньги одобрили вроде а когда зачислят и когда отдавать вопрос
1876,по условиям кэшбека
1877,расчетный счёт какого числа
1878,я заказывала кредитную карту и мне одобрили откуда мне забрать карту
1879,справка о реквизитах
1880,оформила кредитную карту в онлайн банке не отображается что кредит одобрен
1881,я не знаю какой счет можете помочь
1882,мне одобрили кредитную карту почему ее не видно
1883,неверно определяются реквизиты
1884,не высветились реквизиты на перевод как узнать
1885,как узнать свой расчетный счет
1886,почему не приходят уведомления о переводе денег
1887,доступ к lounge key
1888,номер счета дебетовой карты
1889,реквизиты карты
1890,кэшбэк по сб
1891,у меня заблокировали сим карту и мне нужно будет поменять номер телефона на этом аккаунте на другой как это возможно
1892,отключить входящие переводы сбп
1893,как мне узнать почему перестали приходить мне уведомления о зарплате я только могу посмотреть это в приложении
1894,как установить пароль на вход в приложение
1895,почему только кредитный лимит <anon num>
1896,оформила кредит требуют подписать не поняла подписала или нет
1897,я не хочу снимать я хочу получить на счёт
1898,приложение запрашивает обновить номер телефона но номер прежний
1899,<anon num> на телефон
1900,мне все равно не приходят уведомления о списаниях и поступлениях
1901,прошло <anon num> дней почему заявка на кредит под залог активна когда она уйдёт в архив условия по данной заявке не устраивают
1902,не вижу карту в приложении вчера привёз менеджер
1903,вернуть со счета погашения кредита
1904,номер телефона для детской карты не подходит
1905,номер счета
1906,мне нужно реквизиты моего счета для работодателя чтобы получать зарплату
1907,уведомления от приложения
1908,а почему в приложение не отображается карта которую заказали
1909,кэшбэк начислят
1910,расчетный счет банка
1911,он уже одобрен но деньги не дают
1912,бонусы и привилегии
1913,сумма долга не идет с расходами
1914,где посмотреть где у меня кредитный счёт
1915,выдают ли денги в выходные
1916,хотел узнать что с кешбэком за май
1917,как то можно сделать чтобы мои операции по счету видел другой пользователь
1918,как узнать кредитный счёт
1919,а где смотреть этот счёт
1920,почему я не могу посмотреть реквизиты карты пишет что я менял телефон но я его не менял дайте доступ к реквизитам
1921,хочу воспользоваться
1922,реквизит
1923,за месяц текущий
1924,где посмотреть расчетный счет карты
1925,можно ли выпустить новую карту которая будет привязана к другому номеру телефона
1926,где найти расчетный счёт карты
1927,реквизиты счета нужн
1928,реквизит узнать
1929,расчётный номер
1930,где найти счёт
1931,как узнать какой бик банка
1932,сегодня <anon num> а уведомления нет
1933,не приходят пуш уведомления на телефон от банка в настройках банковского приложения всё включено и в настройках телефона тоже уведомления включены переустанавливал приложение но проблема осталась
